product_id	product_name	category	subcategory	brand	price	avg_rating	total_reviews	positive_reviews	mixed_reviews	negative_reviews	url	thumbnail_url
8759614	러닝 장갑	러닝	액세서리	KIPRUN	17900	5.0	42	42	0	0	https://www.decathlon.co.kr/r/e4f1b69a-54e6-46b9-875b-21b35ca777ea_러닝-장갑-에볼루티브-v2-kiprun-8759614.html	https://contents.mediadecathlon.com/p2698477/k$d4491b1f1dce6d92c3471efdfad319e2/러닝-장갑-에볼루티브-v2-kiprun-8759614.jpg
8902771	남성 하프집 러닝 긴팔 티 런	러닝	의류	KIPRUN	29900	5.0	10	10	0	0	https://www.decathlon.co.kr/r/b84bff5f-b87c-49a7-a193-5da9350e076d_남성-하프집-러닝-긴팔-티-런-드라이-500-kiprun-8902771.html	https://contents.mediadecathlon.com/p3015170/k$c8de7ba847a901f4cf15adf77f2930fb/남성-하프집-러닝-긴팔-티-런-드라이-500-kiprun-8902771.jpg
8911507	남성 러닝 패딩 베스트 런	러닝	의류	KIPRUN	44900	5.0	156	156	0	0	https://www.decathlon.co.kr/r/1ab57afe-c525-40f7-8c89-37dbe6237c3a_남성-러닝-패딩-베스트-런-월-500-kiprun-8911507.html	https://contents.mediadecathlon.com/p3005167/k$f469c11497bfad98a326c5b9feaf8f12/남성-러닝-패딩-베스트-런-웜-500-kiprun-8911507.jpg
8926414	Unknown Product	러닝	기타	KIPRUN	29900	4.9	156	156	0	0	https://www.decathlon.co.kr/p/남성-러닝-윈드-재킷-런-100-kiprun-8926414.html	https://contents.mediadecathlon.com/p2966107/k$71853bbcb9cdaf90ad31148656afe201/남성-러닝-윈드-재킷-런-100-kiprun-8926414.jpg
8342130	러닝 보온 헤드밴드	러닝	기타	KIPRUN	8900	5.0	11	11	0	0	https://www.decathlon.co.kr/r/16f96ea3-dade-4404-8caa-fae89d1aab80_러닝-보온-헤드밴드-런-월-kiprun-8342130.html	https://contents.mediadecathlon.com/p2698496/k$f950e28ae3043c8a6a750874bcfee7be/러닝-보온-헤드밴드-런-웜-kiprun-8342130.jpg
8882067	남성 러닝 바지 런	러닝	기타	KIPRUN	24900	5.0	28	28	0	0	https://www.decathlon.co.kr/r/37cb9912-7e97-40e5-bab7-e4229728003f_남성-러닝-바지-런-드라이-100-kiprun-8882067.html	https://contents.mediadecathlon.com/p2709170/k$ede7dcf3709d56fd4d946888f661d919/남성-러닝-바지-런-드라이-100-kiprun-8882067.jpg
8817439	남성 러닝 긴팔 티 런	러닝	의류	KIPRUN	19900	5.0	36	36	0	0	https://www.decathlon.co.kr/r/8688ef4f-d574-440a-b3ef-231842e602ea_남성-러닝-긴팔-티-런-드라이-500-kiprun-8817439.html	https://contents.mediadecathlon.com/p2924646/k$fbfd9be209a6340236dd7226f061d8cd/남성-러닝-긴팔-티-런-드라이-500-kiprun-8817439.jpg
8487923	남성 하프집 러닝 긴팔 티 런	러닝	의류	KALENJI	19900	5.0	44	44	0	0	https://www.decathlon.co.kr/r/0e661008-65f4-4a76-aec0-5588dd141cd8_남성-하프집-러닝-긴팔-티-런-월-100-kalenji-8487923.html	https://contents.mediadecathlon.com/p2607111/k$ffa7f4654c9c174bcdf14cce22b20aa4/남성-하프집-러닝-긴팔-티-런-웜-100-kalenji-8487923.jpg
8807977	남성 러닝 바지	러닝	기타	KALENJI	34900	5.0	24	24	0	0	https://www.decathlon.co.kr/r/b02449e6-3ce1-49e1-8e7f-b73344cee8aa_남성-러닝-바지-월-100-kalenji-8807977.html	https://contents.mediadecathlon.com/p2866250/k$82bd3b00ed04b5e6e35cc1a64bfe7865/남성-러닝-바지-웜-100-kalenji-8807977.jpg
8966974	여성 하프집 러닝 긴팔 티 런	러닝	의류	KALENJI	19900	5.0	10	10	0	0	https://www.decathlon.co.kr/r/9b182817-c4ab-4e29-917b-23bb73e1b4c3_여성-하프집-러닝-긴팔-티-런-월-100-kalenji-8966974.html	https://contents.mediadecathlon.com/p3015166/k$bb171479752a6c741ec73cdfafa04d7b/여성-하프집-러닝-긴팔-티-런-웜-100-kalenji-8966974.jpg
8926453	남성 러닝 윈드 재킷	러닝	의류	KIPRUN	29900	5.0	31	31	0	0	https://www.decathlon.co.kr/r/defe484d-e226-493c-836c-e86054a151bc_남성-러닝-윈드-재킷-런-100-kiprun-8926453.html	https://contents.mediadecathlon.com/p3001938/k$697ac572b85bc219f14357f6f0913ade/남성-러닝-윈드-재킷-런-100-kiprun-8926453.jpg
8871357	러닝 캡	러닝	액세서리	KIPRUN	15900	5.0	126	126	0	0	https://www.decathlon.co.kr/r/cb734175-9638-4771-b508-739373a08ba5_러닝-캡-모자-v2-kiprun-8871357.html	https://contents.mediadecathlon.com/p3001942/k$9ba78591c81114c2a29e90715663b75b/러닝-캡-모자-v2-kiprun-8871357.jpg
8861547	남성 러닝 반팔 티 런	러닝	의류	KIPRUN	24900	5.0	152	152	0	0	https://www.decathlon.co.kr/r/0af2cade-091e-48b9-9799-3b7ac16b677b_남성-러닝-반팔-티-런-드라이-500-kiprun-8861547.html	https://contents.mediadecathlon.com/p3001932/k$d4f01ccbfa558a48b9d2101d98ce422b/남성-러닝-반팔-티-런-드라이-500-kiprun-8861547.jpg
8588345	남성 6인치 러닝 쇼츠 컴포트 500	러닝	의류	KIPRUN	29900	5.0	173	173	0	0	https://www.decathlon.co.kr/r/1c2a73e6-2d84-4c91-89ab-f063eadd9a65_남성-6인치-러닝-쇼츠-컴포트-500-브리프-내장-kiprun-8588345.html	https://contents.mediadecathlon.com/p2600838/k$fd7f3cc2db36e1673da8a650c812e5e2/남성-6인치-러닝-쇼츠-컴포트-500-브리프-내장-kiprun-8588345.jpg
8757546	여성 러닝 보온 레깅스 런	러닝	의류	KIPRUN	24900	4.9	3	3	0	0	https://www.decathlon.co.kr/r/e95ec1f5-6642-4a64-af23-4a151a1465b8_여성-러닝-보온-레깅스-런-월-100-kiprun-8757546.html	https://contents.mediadecathlon.com/p2710874/k$e6797fec226bf9a6b2acffa3b52e49be/여성-러닝-보온-레깅스-런-웜-100-kiprun-8757546.jpg
8519080	남성 러닝 바지 슬림핏 런	러닝	기타	KIPRUN	49900	5.0	8	8	0	0	https://www.decathlon.co.kr/r/e958cb2a-c0fa-4b1a-b887-3eab43461456_남성-러닝-바지-슬림핏-런-드라이-500-kiprun-8519080.html	https://contents.mediadecathlon.com/p2197148/k$e45c7f14f1f892fa9111d042777b1ea3/남성-러닝-바지-슬림핏-런-드라이-500-kiprun-8519080.jpg
8488034	남성 러닝 반팔 티 런	러닝	의류	KALENJI	9900	5.0	140	140	0	0	https://www.decathlon.co.kr/r/f04856df-ea90-4431-9a24-ab143ec9a486_남성-러닝-반팔-티-런-드라이-100-decathlon-8488034.html	https://contents.mediadecathlon.com/p2924641/k$67d6b1e1b55aa3217970880ea31408c6/남성-러닝-반팔-티-런-드라이-100-decathlon-8488034.jpg
8885914	여성 러닝 윈드 재킷	러닝	의류	KIPRUN	29900	5.0	11	11	0	0	https://www.decathlon.co.kr/r/518712c5-981e-44c5-ad49-c16a6dd774a7_여성-러닝-윈드-재킷-런-100-kiprun-8885914.html	https://contents.mediadecathlon.com/p2924642/k$cfc39bf3f6d675aa73192eb19f78fd58/여성-러닝-윈드-재킷-런-100-kiprun-8885914.jpg
8817443	남성 7인치 러닝 쇼츠 런	러닝	의류	KALENJI	9900	5.0	184	184	0	0	https://www.decathlon.co.kr/r/d992b8f1-60e6-47df-b4ff-f99a47f777d1_남성-7인치-러닝-쇼츠-런-드라이-100-kalenji-8817443.html	https://contents.mediadecathlon.com/p2924600/k$cf423b616aba772e3e0c4ae7954420df/남성-7인치-러닝-쇼츠-런-드라이-100-kalenji-8817443.jpg
8916623	남성 백팩킹	스포츠	가방	DECATHLON	59900	4.9	3	3	0	0	https://www.decathlon.co.kr/r/78255631-e894-4b45-968e-e862446468b5_남성-백팩킹-바지-mt500-simond-8916623.html	https://contents.mediadecathlon.com/p2815569/k$38b68d0edc365d6eae5bdd8870bafeb4/남성-백패킹-바지-mt500-simond-8916623.jpg
